"FIPStxt","State","Area_name","Rural_urban_continuum_code_2013","Urban_influence_code_2013","Metro_2013","Average Employment Data from 2007 to 2017","Average Unemployment Data from 2007 to 2017"

"1001","AL","Autauga County AL","2","2","1","24388.976923076923","796.3318181818181"
"1003","AL","Baldwin County AL","3","2","1","72170.3","2779.913636363636"
"1005","AL","Barbour County AL","6","6","0","9677.692307692309","471.71363636363634"
"1007","AL","Bibb County AL","1","1","1","10117.846153846154","346.61818181818177"
"1009","AL","Blount County AL","1","1","1","23637.615384615383","811.6863636363637"
"1011","AL","Bullock County AL","6","6","0","6080.923076923077","221.24090909090907"
"1013","AL","Butler County AL","6","6","0","9702.346153846154","451.95"
"1015","AL","Calhoun County AL","3","2","1","42104.78461538461","1972.3"
"1017","AL","Chambers County AL","6","5","0","14570.261538461538","738.6636363636363"
"1019","AL","Cherokee County AL","6","6","0","12238.346153846154","405.79545454545456"
"1021","AL","Chilton County AL","1","1","1","18697.26153846154","652.9136363636363"
"1023","AL","Choctaw County AL","9","10","0","6133.276923076924","235.25"
"1025","AL","Clarke County AL","7","11","0","9158.43076923077","579.0772727272727"
"1027","AL","Clay County AL","9","10","0","7325.16923076923","255.2545454545455"
"1029","AL","Cleburne County AL","8","4","0","8089.376923076923","215.7136363636363"
"1031","AL","Coffee County AL","4","5","0","20170.384615384617","670.4363636363637"
"1033","AL","Colbert County AL","3","2","1","22428.507692307692","993.9954545454547"
"1035","AL","Conecuh County AL","7","11","0","5853.638461538461","277.25"
"1037","AL","Coosa County AL","8","3","0","6266.284615384615","215.86363636363637"
"1039","AL","Covington County AL","6","6","0","15364.584615384616","623.7272727272727"
"1041","AL","Crenshaw County AL","8","6","0","7895.053846153846","234.12272727272727"
"1043","AL","Cullman County AL","4","3","0","32510.976923076923","1222.259090909091"
"1045","AL","Dale County AL","4","5","0","19344.576923076922","705.1454545454545"
"1047","AL","Dallas County AL","4","5","0","14288.446153846153","1006.6136363636364"
"1049","AL","DeKalb County AL","6","6","0","25920.4","1206.5454545454545"
"1051","AL","Elmore County AL","2","2","1","33301.984615384616","1128.4363636363635"
"1053","AL","Escambia County AL","6","6","0","13986.753846153846","626.2500000000001"
"1055","AL","Etowah County AL","3","2","1","37708.88461538462","1658.9181818181817"
"1057","AL","Fayette County AL","6","6","0","8151.607692307692","288.7318181818182"
"1059","AL","Franklin County AL","6","6","0","13618.23076923077","546.0863636363637"
"1061","AL","Geneva County AL","3","2","1","11624.830769230768","391.80909090909086"
"1063","AL","Greene County AL","8","6","0","4341.338461538462","192.20000000000002"
"1065","AL","Hale County AL","3","2","1","7576.6461538461535","324.43636363636364"
"1067","AL","Henry County AL","3","2","1","8682.576923076924","281.8545454545455"
"1069","AL","Houston County AL","3","2","1","39444.82307692308","1520.2954545454545"
"1071","AL","Jackson County AL","6","5","0","22298.107692307694","974.7954545454544"
"1073","AL","Jefferson County AL","1","1","1","250724.0153846154","10803.409090909092"
"1075","AL","Lamar County AL","8","7","0","7400.369230769231","240.29545454545453"
"1077","AL","Lauderdale County AL","3","2","1","37231.02307692308","1572.2227272727273"
"1079","AL","Lawrence County AL","3","2","1","14650.084615384616","623.7272727272727"
"1081","AL","Lee County AL","3","2","1","58407.00769230769","2120.2136363636364"
"1083","AL","Limestone County AL","2","2","1","34929.97692307692","1244.3454545454545"
"1085","AL","Lowndes County AL","2","2","1","5562.623076923077","289.6727272727273"
"1087","AL","Macon County AL","6","6","0","8862.56153846154","412.07272727272726"
"1089","AL","Madison County AL","2","2","1","140344.3153846154","5102.781818181818"
"1091","AL","Marengo County AL","7","11","0","8679.16153846154","363.2363636363636"
"1093","AL","Marion County AL","7","11","0","12515.738461538462","563.8045454545454"
"1095","AL","Marshall County AL","4","5","0","35676.99230769231","1374.2590909090907"
"1097","AL","Mobile County AL","2","2","1","149848.43846153846","7476.9681818181825"
"1099","AL","Monroe County AL","7","11","0","8817.776923076923","492.19090909090914"
"1101","AL","Montgomery County AL","2","2","1","87061.4923076923","3807.4772727272725"
"1103","AL","Morgan County AL","3","2","1","48059.399999999994","1975.9818181818182"
"1105","AL","Perry County AL","8","4","0","4608.346153846154","239.13636363636368"
"1107","AL","Pickens County AL","3","2","1","8764.43846153846","348.17272727272723"
"1109","AL","Pike County AL","6","5","0","14744.384615384615","543.8227272727272"
"1111","AL","Randolph County AL","6","4","0","10405.307692307691","396.4"
"1113","AL","Russell County AL","2","2","1","21362.107692307694","921.7272727272725"
"1115","AL","St. Clair County AL","1","1","1","34566.53076923077","1237.8272727272727"
"1117","AL","Shelby County AL","1","1","1","90197.86923076924","2536.545454545454"
"1119","AL","Sumter County AL","8","6","0","6028.453846153846","258.7590909090909"
"1121","AL","Talladega County AL","4","3","0","30937.738461538458","1571.9227272727271"
"1123","AL","Tallapoosa County AL","6","6","0","17419.746153846154","764.9363636363637"
"1125","AL","Tuscaloosa County AL","3","2","1","78720.26923076923","3018.581818181819"
"1127","AL","Walker County AL","1","1","1","23885.946153846155","1114.0772727272729"
"1129","AL","Washington County AL","8","7","0","8104.238461538462","366.68181818181824"
"1131","AL","Wilcox County AL","9","10","0","3989.1769230769232","281.6409090909091"
"1133","AL","Winston County AL","6","4","0","10389.492307692308","486.43636363636364"
"2013","AK","Aleutians East Borough AK","9","12","0","6519.615384615385","54.81363636363637"
"2016","AK","Aleutians West Census Area AK","9","11","0","9100.738461538462","104.66363636363639"
"2020","AK","Anchorage Borough/municipality AK","2","2","1","131120.4076923077","4398.0"
"2050","AK","Bethel Census Area AK","7","11","0","8803.015384615384","534.1454545454545"
"2060","AK","Bristol Bay Borough AK","9","12","0","5729.33076923077","24.904545454545453"
"2068","AK","Denali Borough AK","8","7","0","6488.776923076924","62.46818181818182"
"2070","AK","Dillingham Census Area AK","9","12","0","5621.584615384616","107.92727272727275"
"2090","AK","Fairbanks North Star Borough AK","3","2","1","42927.10769230769","1436.9909090909093"
"2100","AK","Haines Borough AK","9","12","0","5033.784615384615","61.95909090909092"
"2105","AK","Hoonah-Angoon Census Area AK","9","10","0","6170.280000000001","86.55000000000001"
"2110","AK","Juneau Borough/city AK","5","8","0","20652.669230769232","455.86818181818194"
"2122","AK","Kenai Peninsula Borough AK","7","11","0","26251.0","1173.6363636363637"
"2130","AK","Ketchikan Gateway Borough AK","7","8","0","11004.092307692308","271.2590909090909"
"2150","AK","Kodiak Island Borough AK","7","11","0","10930.084615384616","207.2681818181818"
"2158","AK","Kusilvak Census Area AK","9","12","0","4456.161538461538","306.4409090909091"
"2164","AK","Lake and Peninsula Borough AK","9","12","0","3998.7846153846153","49.92727272727273"
"2170","AK","Matanuska-Susitna Borough AK","2","2","1","39593.17692307692","1843.5227272727273"
"2180","AK","Nome Census Area AK","7","11","0","7338.884615384615","249.49090909090913"
"2185","AK","North Slope Borough AK","7","11","0","9197.653846153846","139.87272727272727"
"2188","AK","Northwest Arctic Borough AK","7","11","0","6290.884615384615","226.50909090909093"
"2195","AK","Petersburg Borough AK","9","11","0","7265.75","75.99999999999999"
"2198","AK","Prince of Wales-Hyder Census Area AK","9","10","0","6802.219999999999","172.65625000000003"
"2220","AK","Sitka Borough/city AK","7","11","0","9279.584615384616","127.50909090909089"
"2230","AK","Skagway Municipality AK","9","12","0","7063.85","56.006249999999994"
"2240","AK","Southeast Fairbanks Census Area AK","9","12","0","6976.307692307692","181.9"
"2261","AK","Valdez-Cordova Census Area AK","9","11","0","9219.353846153846","229.52272727272728"
"2275","AK","Wrangell Borough/city AK","9","12","0","6452.25","45.3375"
"2282","AK","Yakutat Borough/city AK","9","12","0","4661.215384615385","17.968181818181815"
"2290","AK","Yukon-Koyukuk Census Area AK","9","12","0","4780.984615384616","232.52727272727273"
"4001","AZ","Apache County AZ","6","6","0","18240.89230769231","1587.9545454545455"
"4003","AZ","Cochise County AZ","3","2","1","46052.876923076925","2044.3272727272727"
"4005","AZ","Coconino County AZ","3","2","1","61198.17692307693","2616.2090909090907"
"4007","AZ","Gila County AZ","4","3","0","19720.86153846154","937.9863636363636"
"4009","AZ","Graham County AZ","7","8","0","14933.715384615383","620.9090909090909"
"4011","AZ","Greenlee County AZ","7","9","0","7826.253846153846","177.64545454545453"
"4012","AZ","La Paz County AZ","6","4","0","8880.238461538462","314.97727272727275"
"4013","AZ","Maricopa County AZ","1","1","1","1567347.0615384616","61685.65454545454"
"4015","AZ","Mohave County AZ","3","2","1","67093.34615384616","3731.709090909091"
"4017","AZ","Navajo County AZ","4","5","0","33888.53846153846","2385.445454545454"
"4019","AZ","Pima County AZ","2","2","1","374183.3153846153","15247.413636363635"
"4021","AZ","Pinal County AZ","1","1","1","117845.10769230769","5614.404545454546"
"4023","AZ","Santa Cruz County AZ","4","5","0","17321.62307692308","1248.095454545455"
"4025","AZ","Yavapai County AZ","3","2","1","79451.70769230768","3423.590909090909"
"4027","AZ","Yuma County AZ","3","2","1","63706.8","9745.631818181819"
"5001","AR","Arkansas County AR","6","6","0","11099.346153846154","488.5590909090908"
"5003","AR","Ashley County AR","7","11","0","10043.615384615385","414.17272727272723"
"5005","AR","Baxter County AR","7","8","0","16203.8","583.0909090909091"
"5007","AR","Benton County AR","2","2","1","96998.86923076924","2726.740909090909"
"5009","AR","Boone County AR","7","8","0","16089.215384615383","498.93636363636364"
"5011","AR","Bradley County AR","7","9","0","6310.215384615385","201.43636363636367"
"5013","AR","Calhoun County AR","9","8","0","4555.807692307692","92.73181818181817"
"5015","AR","Carroll County AR","6","6","0","13337.815384615385","347.7590909090909"
"5017","AR","Chicot County AR","7","9","0","5460.653846153846","212.5681818181818"
"5019","AR","Clark County AR","7","8","0","10823.453846153845","366.68636363636364"
"5021","AR","Clay County AR","7","9","0","7887.246153846154","301.70454545454544"
"5023","AR","Cleburne County AR","6","6","0","11478.038461538461","384.140909090909"
"5025","AR","Cleveland County AR","3","2","1","6429.530769230769","127.55909090909091"
"5027","AR","Columbia County AR","7","8","0","10580.576923076924","397.53636363636366"
"5029","AR","Conway County AR","6","6","0","10365.176923076922","331.24545454545455"
"5031","AR","Craighead County AR","3","2","1","42736.407692307694","1360.3500000000001"
"5033","AR","Crawford County AR","2","2","1","25199.36153846154","868.3954545454545"
"5035","AR","Crittenden County AR","1","1","1","20082.9","879.4045454545453"
"5037","AR","Cross County AR","6","4","0","9718.56153846154","288.8863636363637"
"5039","AR","Dallas County AR","6","6","0","5130.369230769231","151.46818181818182"
"5041","AR","Desha County AR","6","6","0","6933.992307692307","261.05"
"5043","AR","Drew County AR","6","6","0","9475.623076923077","364.35"
"5045","AR","Faulkner County AR","2","2","1","50868.35384615384","1626.9181818181823"
"5047","AR","Franklin County AR","6","6","0","9291.484615384616","227.72272727272727"
"5049","AR","Fulton County AR","9","9","0","6548.407692307693","155.62272727272727"
"5051","AR","Garland County AR","3","2","1","35917.06153846154","1348.459090909091"
"5053","AR","Grant County AR","2","2","1","10928.653846153846","240.3272727272727"
"5055","AR","Greene County AR","4","5","0","18847.984615384616","700.5681818181819"
"5057","AR","Hempstead County AR","6","6","0","11239.253846153846","341.08636363636367"
"5059","AR","Hot Spring County AR","6","5","0","15071.869230769229","468.60454545454553"
"5061","AR","Howard County AR","6","6","0","7799.492307692307","186.4272727272727"
"5063","AR","Independence County AR","7","8","0","16125.599999999999","613.0545454545455"
"5065","AR","Izard County AR","9","10","0","6869.946153846154","201.3090909090909"
"5067","AR","Jackson County AR","6","6","0","7879.846153846154","311.75454545454545"
"5069","AR","Jefferson County AR","3","2","1","27752.9","1378.3772727272726"
"5071","AR","Johnson County AR","7","9","0","11519.215384615383","345.8727272727272"
"5073","AR","Lafayette County AR","8","7","0","4695.66923076923","120.02727272727275"
"5075","AR","Lawrence County AR","6","6","0","8651.915384615384","273.44545454545454"
"5077","AR","Lee County AR","7","9","0","4726.738461538462","141.8272727272727"
"5079","AR","Lincoln County AR","3","2","1","6275.369230769231","179.25454545454548"
"5081","AR","Little River County AR","3","2","1","8164.161538461539","183.56363636363636"
"5083","AR","Logan County AR","6","6","0","10621.276923076923","328.3772727272728"
"5085","AR","Lonoke County AR","2","2","1","30753.207692307693","857.1454545454544"
"5087","AR","Madison County AR","2","2","1","8862.692307692309","185.12272727272727"
"5089","AR","Marion County AR","9","10","0","7861.5","241.59545454545452"
"5091","AR","Miller County AR","3","2","1","19008.346153846152","530.3590909090908"
"5093","AR","Mississippi County AR","4","3","0","17973.284615384615","976.7545454545456"
"5095","AR","Monroe County AR","7","9","0","5135.007692307693","124.70909090909093"
"5097","AR","Montgomery County AR","8","7","0","5676.538461538462","132.64090909090908"
"5099","AR","Nevada County AR","7","9","0","6018.361538461539","140.23181818181817"
"5101","AR","Newton County AR","9","8","0","5354.661538461539","108.44090909090909"
"5103","AR","Ouachita County AR","7","8","0","11193.93076923077","427.57272727272726"
"5105","AR","Perry County AR","2","2","1","6884.4384615384615","161.20454545454544"
"5107","AR","Phillips County AR","6","3","0","8330.192307692309","361.53636363636366"
"5109","AR","Pike County AR","9","10","0","6279.569230769231","166.23636363636365"
"5111","AR","Poinsett County AR","3","2","1","10988.492307692308","382.3136363636364"
"5113","AR","Polk County AR","7","11","0","9360.784615384615","274.93636363636364"
"5115","AR","Pope County AR","5","8","0","27013.353846153845","926.2136363636363"
"5117","AR","Prairie County AR","8","7","0","6250.446153846154","130.10909090909092"
"5119","AR","Pulaski County AR","2","2","1","154482.92307692306","5257.763636363636"
"5121","AR","Randolph County AR","7","9","0","8411.384615384615","300.59999999999997"
"5123","AR","St. Francis County AR","6","3","0","10395.715384615383","436.55909090909097"
"5125","AR","Saline County AR","2","2","1","48074.407692307694","1348.7045454545453"
"5127","AR","Scott County AR","6","6","0","6372.776923076924","131.38636363636363"
"5129","AR","Searcy County AR","9","10","0","4867.2307692307695","112.9"
"5131","AR","Sebastian County AR","2","2","1","50306.36923076923","1823.209090909091"
"5133","AR","Sevier County AR","6","6","0","8117.3153846153855","206.45"
"5135","AR","Sharp County AR","7","9","0","7288.915384615384","255.2454545454545"
"5137","AR","Stone County AR","9","9","0","6315.2307692307695","177.89090909090908"
"5139","AR","Union County AR","7","8","0","16750.046153846153","696.9636363636364"
"5141","AR","Van Buren County AR","8","6","0","8057.223076923076","281.01363636363635"
"5143","AR","Washington County AR","2","2","1","91239.95384615383","2494.7136363636364"
"5145","AR","White County AR","4","5","0","30677.446153846155","1208.9136363636362"
"5147","AR","Woodruff County AR","9","10","0","4901.115384615385","146.16363636363639"
"5149","AR","Yell County AR","6","5","0","10570.392307692307","286.17727272727274"
"6001","CA","Alameda County CA","1","1","1","633587.2384615385","27503.718181818178"
"6003","CA","Alpine County CA","8","4","0","4828.3","30.313636363636363"
"6005","CA","Amador County CA","6","4","0","16562.17692307692","717.8363636363636"
"6007","CA","Butte County CA","3","2","1","81465.89230769231","4897.159090909092"
"6009","CA","Calaveras County CA","6","6","0","20258.815384615384","979.718181818182"
"6011","CA","Colusa County CA","6","4","0","11973.692307692309","956.4590909090908"
"6013","CA","Contra Costa County CA","1","1","1","428895.1","18930.231818181815"
"6015","CA","Del Norte County CA","7","8","0","11052.407692307692","548.4954545454545"
"6017","CA","El Dorado County CA","1","1","1","75605.83846153846","3590.0545454545454"
"6019","CA","Fresno County CA","2","2","1","328897.10769230773","26935.822727272727"
"6021","CA","Glenn County CA","6","6","0","13155.546153846155","740.959090909091"
"6023","CA","Humboldt County CA","5","8","0","52271.74615384615","2407.4363636363632"
"6025","CA","Imperial County CA","3","2","1","51907.692307692305","9366.677272727275"
"6027","CA","Inyo County CA","7","11","0","11361.830769230768","339.01363636363635"
"6029","CA","Kern County CA","2","2","1","286918.96923076926","22001.79090909091"
"6031","CA","Kings County CA","3","2","1","47298.75384615385","3603.618181818182"
"6033","CA","Lake County CA","4","5","0","24431.86923076923","1492.5318181818182"
"6035","CA","Lassen County CA","7","8","0","12632.884615384615","588.9681818181818"
"6037","CA","Los Angeles County CA","1","1","1","3846381.0384615385","212723.63636363635"
"6039","CA","Madera County CA","3","2","1","50520.85384615384","3677.2136363636364"
"6041","CA","Marin County CA","1","1","1","117414.83076923077","3477.640909090909"
"6043","CA","Mariposa County CA","8","7","0","10443.592307692308","396.6454545454546"
"6045","CA","Mendocino County CA","4","5","0","35668.13846153846","1629.845454545455"
"6047","CA","Merced County CA","2","2","1","85027.93076923078","7602.472727272727"
"6049","CA","Modoc County CA","6","6","0","6011.869230769231","207.45000000000002"
"6051","CA","Mono County CA","7","11","0","11011.192307692309","320.0636363636363"
"6053","CA","Monterey County CA","2","2","1","169950.15384615384","10450.83181818182"
"6055","CA","Napa County CA","3","2","1","63533.692307692305","2358.390909090909"
"6057","CA","Nevada County CA","4","3","0","42941.946153846155","1855.6681818181821"
"6059","CA","Orange County CA","1","1","1","1262022.5076923077","49100.69090909091"
"6061","CA","Placer County CA","1","1","1","145050.23076923078","6454.981818181817"
"6063","CA","Plumas County CA","7","12","0","10584.476923076923","569.0136363636365"
"6065","CA","Riverside County CA","1","1","1","761552.6538461539","45609.53181818181"
"6067","CA","Sacramento County CA","1","1","1","535565.3230769231","28292.954545454544"
"6069","CA","San Benito County CA","1","1","1","26765.707692307693","1444.4772727272725"
"6071","CA","San Bernardino County CA","1","1","1","695001.6153846154","40125.02727272728"
"6073","CA","San Diego County CA","1","1","1","1219731.876923077","54883.91363636364"
"6075","CA","San Francisco County/city CA","1","1","1","411993.0307692308","13909.822727272725"
"6077","CA","San Joaquin County CA","2","2","1","235802.09230769234","17872.972727272725"
"6079","CA","San Luis Obispo County CA","2","2","1","114181.05384615384","4469.686363636364"
"6081","CA","San Mateo County CA","1","1","1","336691.6230769231","10584.199999999999"
"6083","CA","Santa Barbara County CA","2","2","1","175887.61538461538","7240.704545454544"
"6085","CA","Santa Clara County CA","1","1","1","760728.4384615384","30546.02727272728"
"6087","CA","Santa Cruz County CA","2","2","1","116133.93076923078","6634.109090909092"
"6089","CA","Shasta County CA","3","2","1","62059.06923076923","4286.681818181818"
"6091","CA","Sierra County CA","8","7","0","4818.7692307692305","90.36363636363636"
"6093","CA","Siskiyou County CA","6","6","0","17066.03076923077","1133.8727272727272"
"6095","CA","Solano County CA","2","2","1","165836.7","8516.363636363636"
"6097","CA","Sonoma County CA","2","2","1","206571.11538461538","8493.522727272728"
"6099","CA","Stanislaus County CA","2","2","1","182019.36923076923","14507.672727272724"
"6101","CA","Sutter County CA","3","2","1","36254.97692307692","2990.027272727273"
"6103","CA","Tehama County CA","4","5","0","22232.684615384616","1349.4454545454546"
"6105","CA","Trinity County CA","8","6","0","6811.4","312.7590909090909"
"6107","CA","Tulare County CA","2","2","1","151235.2","13387.204545454548"
"6109","CA","Tuolumne County CA","4","5","0","21449.5","1125.6454545454546"
"6111","CA","Ventura County CA","2","2","1","342806.3384615385","15817.140909090911"
"6113","CA","Yolo County CA","1","1","1","84133.61538461539","4291.545454545455"
"6115","CA","Yuba County CA","3","2","1","24464.153846153848","1784.0727272727274"
"8001","CO","Adams County CO","1","1","1","194371.12307692308","7810.813636363638"
"8003","CO","Alamosa County CO","7","11","0","9150.953846153845","269.22272727272724"
"8005","CO","Arapahoe County CO","1","1","1","265011.90769230766","9016.177272727273"
"8007","CO","Archuleta County CO","7","10","0","8837.007692307692","199.3272727272727"
"8009","CO","Baca County CO","9","12","0","4367.215384615385","36.36363636363637"
"8011","CO","Bent County CO","7","12","0","4201.130769230769","61.722727272727276"
"8013","CO","Boulder County CO","2","2","1","147987.6","4069.45"
"8014","CO","Broomfield County/city CO","1","1","1","33352.553846153845","814.5181818181819"
"8015","CO","Chaffee County CO","7","11","0","10672.06923076923","212.93636363636367"
"8017","CO","Cheyenne County CO","9","12","0","4810.53076923077","18.668181818181814"
"8019","CO","Clear Creek County CO","1","1","1","9764.115384615385","149.80454545454543"
"8021","CO","Conejos County CO","9","12","0","5541.946153846154","144.9272727272727"
"8023","CO","Costilla County CO","9","12","0","3300.9538461538464","69.0090909090909"
"8025","CO","Crowley County CO","8","7","0","3981.9692307692308","54.82272727272727"
"8027","CO","Custer County CO","8","7","0","5610.861538461539","52.66818181818181"
"8029","CO","Delta County CO","6","6","0","14856.43076923077","509.33181818181805"
"8031","CO","Denver County/city CO","1","1","1","288050.91538461536","10238.15909090909"
"8033","CO","Dolores County CO","9","12","0","4444.9384615384615","45.23181818181818"
"8035","CO","Douglas County CO","1","1","1","142363.53846153847","3738.0136363636366"
"8037","CO","Eagle County CO","5","8","0","32131.084615384614","810.5045454545453"
"8039","CO","Elbert County CO","1","1","1","17185.915384615386","334.42727272727274"
"8041","CO","El Paso County CO","2","2","1","248333.90769230766","9830.318181818182"
"8043","CO","Fremont County CO","4","5","0","16336.815384615385","665.6045454545456"
"8045","CO","Garfield County CO","5","8","0","31129.246153846154","935.1863636363637"
"8047","CO","Gilpin County CO","1","1","1","7800.584615384616","85.15454545454547"
"8049","CO","Grand County CO","7","10","0","12185.938461538462","226.6272727272727"
"8051","CO","Gunnison County CO","7","11","0","12112.907692307692","211.63636363636368"
"8053","CO","Hinsdale County CO","9","12","0","4394.9","11.04090909090909"
"8055","CO","Huerfano County CO","6","6","0","4806.053846153846","135.46818181818182"
"8057","CO","Jackson County CO","9","10","0","4364.538461538462","21.85"
"8059","CO","Jefferson County CO","1","1","1","252429.77692307692","8228.163636363635"
"8061","CO","Kiowa County CO","9","12","0","4074.223076923077","17.318181818181817"
"8063","CO","Kit Carson County CO","7","11","0","7318.884615384615","75.2"
"8065","CO","Lake County CO","6","4","0","7260.130769230769","135.64999999999998"
"8067","CO","La Plata County CO","4","5","0","29065.923076923078","706.309090909091"
"8069","CO","Larimer County CO","2","2","1","148018.25384615385","4308.031818181818"
"8071","CO","Las Animas County CO","7","11","0","8564.93846153846","273.06818181818176"
"8073","CO","Lincoln County CO","8","7","0","5270.030769230769","53.41818181818181"
"8075","CO","Logan County CO","7","8","0","12850.246153846154","244.39545454545458"
